Stock No.,Product Name,SKU,Category,Quantity in Stock,Reorder Level,Reorder Quantity,Unit Cost,Total Cost,Selling Price,Total Revenue,Gross Margin,Supplier Name,Supplier Email,Supplier Phone,Warehouse Location,Batch Number,Stock Status,Barcode
138,Wire Storage Basket,HWPQ2HUE,Storage Bin,315,1,110,30,9450,39,12285,2835,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-6035,Active,556063418053
139,Acrylic Cosmetic Bin,Z7VNTD29,Storage Bin,368,1,160,30,11040,39,14352,3312,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-6355,Discontinued,292072345275
140,Fabric Storage Box,RANFCS48,Storage Bin,106,3,140,10,1060,19,2014,954,Alpha Supplies Co.,alpha.supplies@gmail.com,012-38277289,Klang,BATCH-2115,Discontinued,120549786669
141,Stainless Steel Insulated Travel Mug,0G1PSQLH,Mug,92,4,190,10,920,19,1748,828,Epsilon Global Trade,epsilon.global@gmail.com,016-59812778,Subang,BATCH-2505,Discontinued,465653782767
142,Ceramic Travel Mug with Lid,ALUZOJ2Y,Mug,355,1,110,40,14200,49,17395,3195,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-4598,Discontinued,188509720322
143,Collapsible Travel Mug,NNSDW8XX,Mug,356,1,150,50,17800,59,21004,3204,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-6771,Active,437178991220
144,Plastic Tumbler with Straw,KSE62RTG,Mug,75,4,100,50,3750,59,4425,675,Epsilon Global Trade,epsilon.global@gmail.com,016-59812778,Subang,BATCH-4681,Active,791594071503
145,Silicone Grip Travel Mug,Z7JCBM8B,Mug,20,5,190,50,1000,59,1180,180,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-5062,Inactive,746737025820
146,Silicone Food Storage Bag,QSCGHX0S,Reusable Bag,309,1,200,20,6180,29,8961,2781,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-6114,Discontinued,997619490294
147,Reusable Canvas Grocery Bag,0PRSTURK,Reusable Bag,349,1,150,30,10470,39,13611,3141,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-7997,Discontinued,588017903626
148,Mesh Produce Bag,VZ6JJUTE,Reusable Bag,270,2,120,10,2700,19,5130,2430,Alpha Supplies Co.,alpha.supplies@gmail.com,012-38277289,Klang,BATCH-4144,Discontinued,226783421551
149,Foldable Snack Bag,SHJO3CMF,Reusable Bag,93,4,120,10,930,19,1767,837,Gamma Wholesalers Inc.,gamma.wholesalers@gmail.com,016-1468899,Serdang,BATCH-5797,Inactive,557916855517
150,Leakproof Freezer Bag,E6V7G6W5,Reusable Bag,125,3,190,10,1250,19,2375,1125,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-8037,Inactive,862965718978
